"group1","group2","n1","n2","delta","conf.low","conf.high","magnitude","p_adj","p_source","direction"
"Uganda","Tanzania",900,979,-0.323771422086029,-0.371369045343074,-0.27447653591361,"small",2.37733132649228e-35,"Wilcoxon-Holm (fallback)","Tanzania > Uganda"
"Tanzania","Ghana",991,900,0.304097993048548,0.256001111420591,0.350692973734004,"small",2.92067751809844e-32,"Wilcoxon-Holm (fallback)","Tanzania > Ghana"
"Zim/Zam","Tanzania",900,900,-0.294617283950617,-0.340454972610397,-0.247382564251855,"small",2.51939242218511e-30,"Wilcoxon-Holm (fallback)","Tanzania > Zim/Zam"
"Zim/Zam","Mali",104,900,-0.438151709401709,-0.540582641364415,-0.322920082160044,"medium",9.77055059902931e-14,"Wilcoxon-Holm (fallback)","Mali > Zim/Zam"
"Mali","Ghana",991,104,0.419321974695335,0.315177690503144,0.513487247708609,"medium",2.9954283736083e-12,"Wilcoxon-Holm (fallback)","Mali > Ghana"
"Uganda","Mali",104,979,-0.42201618606113,-0.520496597558049,-0.31245569972709,"medium",3.07320323253294e-12,"Wilcoxon-Holm (fallback)","Mali > Uganda"
"Tanzania","Mali",104,900,-0.191602564102564,-0.312325137541697,-0.0647898659875502,"small",0.00202023656886289,"Wilcoxon-Holm (fallback)","Mali > Tanzania"
"Zim/Zam","Uganda",979,900,0.0301498127340824,-0.0214332991309989,0.0815728307403172,"negligible",0.73551859873027,"Wilcoxon-Holm (fallback)","Zim/Zam > Uganda"
"Zim/Zam","Ghana",991,900,0.0277463841237807,-0.0227427601142423,0.0780943556188825,"negligible",0.73551859873027,"Wilcoxon-Holm (fallback)","Zim/Zam > Ghana"
"Uganda","Ghana",991,979,0.0189932064783254,-0.0313915326470298,0.0692816620095148,"negligible",0.73551859873027,"Wilcoxon-Holm (fallback)","Uganda > Ghana"
